,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'store'}),frozenset({'beauty_salon'}),0.975925925925926,0.7074074074074074,0.7074074074074074,0.7248576850094876,1.0246679316888045,0.017030178326474577,1.0634227330779051
1,frozenset({'beauty_salon'}),frozenset({'store'}),0.7074074074074074,0.975925925925926,0.7074074074074074,1.0,1.0246679316888045,0.017030178326474577,inf
2,frozenset({'transit_station'}),frozenset({'beauty_salon'}),0.9592592592592593,0.7074074074074074,0.7,0.7297297297297297,1.0315551153247489,0.02141289437585736,1.0825925925925926
3,frozenset({'beauty_salon'}),frozenset({'transit_station'}),0.7074074074074074,0.9592592592592593,0.7,0.9895287958115183,1.0315551153247489,0.02141289437585736,3.890740740740737
4,frozenset({'restaurant'}),frozenset({'home_goods_store'}),0.9259259259259259,0.7648148148148148,0.7388888888888889,0.798,1.0433898305084746,0.030727023319615965,1.1642830949761644
5,frozenset({'home_goods_store'}),frozenset({'restaurant'}),0.7648148148148148,0.9259259259259259,0.7388888888888889,0.9661016949152542,1.0433898305084746,0.030727023319615965,2.185185185185184
6,frozenset({'restaurant'}),frozenset({'bus_station'}),0.9259259259259259,0.9425925925925925,0.8944444444444445,0.9660000000000001,1.0248330058939097,0.02167352537722922,1.6884531590414
7,frozenset({'bus_station'}),frozenset({'restaurant'}),0.9425925925925925,0.9259259259259259,0.8944444444444445,0.9489194499017682,1.0248330058939097,0.02167352537722922,1.450142450142452
8,frozenset({'store'}),frozenset({'restaurant'}),0.975925925925926,0.9259259259259259,0.924074074074074,0.9468690702087286,1.0226185958254268,0.020438957475994446,1.394179894179892
9,frozenset({'restaurant'}),frozenset({'store'}),0.9259259259259259,0.975925925925926,0.924074074074074,0.998,1.0226185958254268,0.020438957475994446,12.037037037037003
10,frozenset({'hair_care'}),frozenset({'restaurant'}),0.85,0.9259259259259259,0.8277777777777777,0.9738562091503268,1.051764705882353,0.040740740740740744,2.8333333333333313
11,frozenset({'restaurant'}),frozenset({'hair_care'}),0.9259259259259259,0.85,0.8277777777777777,0.8939999999999999,1.051764705882353,0.040740740740740744,1.4150943396226405
12,frozenset({'transit_station'}),frozenset({'restaurant'}),0.9592592592592593,0.9259259259259259,0.9074074074074074,0.9459459459459459,1.0216216216216216,0.019204389574760006,1.3703703703703702
13,frozenset({'restaurant'}),frozenset({'transit_station'}),0.9259259259259259,0.9592592592592593,0.9074074074074074,0.98,1.0216216216216216,0.019204389574760006,2.0370370370370354
14,frozenset({'atm'}),frozenset({'restaurant'}),0.7388888888888889,0.9259259259259259,0.7166666666666667,0.9699248120300752,1.0475187969924813,0.03251028806584355,2.462962962962963
15,frozenset({'restaurant'}),frozenset({'atm'}),0.9259259259259259,0.7388888888888889,0.7166666666666667,0.774,1.047518796992481,0.03251028806584355,1.1553588987217305
16,frozenset({'real_estate_agency'}),frozenset({'restaurant'}),0.812962962962963,0.9259259259259259,0.7907407407407407,0.9726651480637812,1.0504783599088838,0.03799725651577501,2.709876543209868
17,frozenset({'restaurant'}),frozenset({'real_estate_agency'}),0.9259259259259259,0.812962962962963,0.7907407407407407,0.854,1.0504783599088838,0.03799725651577501,1.281075596144089
18,frozenset({'doctor'}),frozenset({'restaurant'}),0.8037037037037037,0.9259259259259259,0.774074074074074,0.9631336405529953,1.040184331797235,0.02990397805212619,2.0092592592592555
19,frozenset({'restaurant'}),frozenset({'doctor'}),0.9259259259259259,0.8037037037037037,0.774074074074074,0.836,1.040184331797235,0.02990397805212619,1.196928635953026
20,frozenset({'highSales'}),frozenset({'restaurant'}),0.7444444444444445,0.9259259259259259,0.7074074074074074,0.9502487562189054,1.0262686567164179,0.018106995884773602,1.4888888888888856
21,frozenset({'restaurant'}),frozenset({'highSales'}),0.9259259259259259,0.7444444444444445,0.7074074074074074,0.764,1.0262686567164179,0.018106995884773602,1.0828625235404896
22,frozenset({'bus_station'}),frozenset({'home_goods_store'}),0.9425925925925925,0.7648148148148148,0.7333333333333333,0.7779960707269155,1.0172345718947562,0.012424554183813385,1.0593739757456568
23,frozenset({'home_goods_store'}),frozenset({'bus_station'}),0.7648148148148148,0.9425925925925925,0.7333333333333333,0.9588377723970943,1.0172345718947564,0.012424554183813385,1.3946623093681898
24,frozenset({'store'}),frozenset({'home_goods_store'}),0.975925925925926,0.7648148148148148,0.7648148148148148,0.7836812144212524,1.0246679316888045,0.018412208504801075,1.0872157244964262
25,frozenset({'home_goods_store'}),frozenset({'store'}),0.7648148148148148,0.975925925925926,0.7648148148148148,1.0,1.0246679316888045,0.018412208504801075,inf
26,frozenset({'transit_station'}),frozenset({'home_goods_store'}),0.9592592592592593,0.7648148148148148,0.75,0.7818532818532818,1.022277898791216,0.01634430727023317,1.0781055391674859
27,frozenset({'home_goods_store'}),frozenset({'transit_station'}),0.7648148148148148,0.9592592592592593,0.75,0.9806295399515739,1.022277898791216,0.01634430727023317,2.103240740740743
28,frozenset({'store'}),frozenset({'bus_station'}),0.975925925925926,0.9425925925925925,0.9351851851851852,0.9582542694497154,1.0166155314397767,0.01528463648834022,1.3751683501683514
29,frozenset({'bus_station'}),frozenset({'store'}),0.9425925925925925,0.975925925925926,0.9351851851851852,0.9921414538310414,1.0166155314397767,0.01528463648834022,3.0634259259259573
30,frozenset({'hair_care'}),frozenset({'bus_station'}),0.85,0.9425925925925925,0.8296296296296296,0.9760348583877996,1.0354790246157404,0.028425925925925966,2.395454545454549
31,frozenset({'bus_station'}),frozenset({'hair_care'}),0.9425925925925925,0.85,0.8296296296296296,0.8801571709233792,1.0354790246157402,0.028425925925925966,1.2516393442622955
32,frozenset({'transit_station'}),frozenset({'bus_station'}),0.9592592592592593,0.9425925925925925,0.9425925925925925,0.9826254826254825,1.0424710424710424,0.038401920438957515,3.304115226337437
33,frozenset({'bus_station'}),frozenset({'transit_station'}),0.9425925925925925,0.9592592592592593,0.9425925925925925,1.0,1.0424710424710424,0.038401920438957515,inf
34,frozenset({'atm'}),frozenset({'bus_station'}),0.7388888888888889,0.9425925925925925,0.7277777777777777,0.9849624060150375,1.044950293218311,0.031306584362139844,3.8175925925925682
35,frozenset({'bus_station'}),frozenset({'atm'}),0.9425925925925925,0.7388888888888889,0.7277777777777777,0.7721021611001965,1.044950293218311,0.031306584362139844,1.14573754789272
36,frozenset({'real_estate_agency'}),frozenset({'bus_station'}),0.812962962962963,0.9425925925925925,0.7907407407407407,0.9726651480637812,1.0319040863545028,0.024447873799725683,2.10015432098765
37,frozenset({'bus_station'}),frozenset({'real_estate_agency'}),0.9425925925925925,0.812962962962963,0.7907407407407407,0.8388998035363459,1.0319040863545028,0.024447873799725683,1.1609981933152669
38,frozenset({'doctor'}),frozenset({'bus_station'}),0.8037037037037037,0.9425925925925925,0.7851851851851852,0.9769585253456221,1.036458946339167,0.027620027434842376,2.4914814814814825
39,frozenset({'bus_station'}),frozenset({'doctor'}),0.9425925925925925,0.8037037037037037,0.7851851851851852,0.8330058939096268,1.036458946339167,0.027620027434842376,1.175468409586057
40,frozenset({'highSales'}),frozenset({'bus_station'}),0.7444444444444445,0.9425925925925925,0.7055555555555556,0.9477611940298508,1.0054833885581915,0.0038477366255145196,1.0989417989418016
41,frozenset({'bus_station'}),frozenset({'highSales'}),0.9425925925925925,0.7444444444444445,0.7055555555555556,0.7485265225933203,1.0054833885581915,0.0038477366255145196,1.0162326388888892
42,frozenset({'hair_care'}),frozenset({'store'}),0.85,0.975925925925926,0.8481481481481481,0.9978213507625272,1.0224355396807678,0.018611111111111023,11.049999999999828
43,frozenset({'store'}),frozenset({'hair_care'}),0.975925925925926,0.85,0.8481481481481481,0.8690702087286527,1.0224355396807678,0.018611111111111023,1.1456521739130432
44,frozenset({'transit_station'}),frozenset({'store'}),0.9592592592592593,0.975925925925926,0.9518518518518518,0.9922779922779923,1.0167554380078099,0.01568587105624142,3.1175925925925925
45,frozenset({'store'}),frozenset({'transit_station'}),0.975925925925926,0.9592592592592593,0.9518518518518518,0.9753320683111953,1.0167554380078099,0.01568587105624142,1.6515669515669449
46,frozenset({'atm'}),frozenset({'store'}),0.7388888888888889,0.975925925925926,0.7351851851851852,0.9949874686716791,1.0195317515800886,0.014084362139917594,4.802777777777662
47,frozenset({'store'}),frozenset({'atm'}),0.975925925925926,0.7388888888888889,0.7351851851851852,0.7533206831119544,1.0195317515800886,0.014084362139917594,1.0585042735042733
48,frozenset({'store'}),frozenset({'real_estate_agency'}),0.975925925925926,0.812962962962963,0.812962962962963,0.8330170777988615,1.0246679316888045,0.019571330589849056,1.1200968013468011
49,frozenset({'real_estate_agency'}),frozenset({'store'}),0.812962962962963,0.975925925925926,0.812962962962963,1.0,1.0246679316888045,0.019571330589849056,inf
50,frozenset({'store'}),frozenset({'doctor'}),0.975925925925926,0.8037037037037037,0.8037037037037037,0.8235294117647058,1.0246679316888045,0.01934842249657065,1.1123456790123454
51,frozenset({'doctor'}),frozenset({'store'}),0.8037037037037037,0.975925925925926,0.8037037037037037,1.0,1.0246679316888045,0.01934842249657065,inf
52,frozenset({'hair_care'}),frozenset({'transit_station'}),0.85,0.9592592592592593,0.8444444444444444,0.9934640522875817,1.0356575062457416,0.02907407407407414,6.233333333333356
53,frozenset({'transit_station'}),frozenset({'hair_care'}),0.9592592592592593,0.85,0.8444444444444444,0.8803088803088803,1.0356575062457416,0.02907407407407414,1.2532258064516133
54,frozenset({'hair_care'}),frozenset({'real_estate_agency'}),0.85,0.812962962962963,0.7407407407407407,0.8714596949891067,1.0719549778909285,0.04972222222222222,1.455084745762711
55,frozenset({'real_estate_agency'}),frozenset({'hair_care'}),0.812962962962963,0.85,0.7407407407407407,0.9111617312072892,1.0719549778909285,0.04972222222222222,1.6884615384615362
56,frozenset({'hair_care'}),frozenset({'doctor'}),0.85,0.8037037037037037,0.7425925925925926,0.8736383442265795,1.087015451341827,0.05944444444444441,1.5534482758620687
57,frozenset({'doctor'}),frozenset({'hair_care'}),0.8037037037037037,0.85,0.7425925925925926,0.9239631336405529,1.087015451341827,0.05944444444444441,1.9727272727272716
58,frozenset({'transit_station'}),frozenset({'atm'}),0.9592592592592593,0.7388888888888889,0.7351851851851852,0.7664092664092664,1.037245623711789,0.026399176954732484,1.1178145087235996
59,frozenset({'atm'}),frozenset({'transit_station'}),0.7388888888888889,0.9592592592592593,0.7351851851851852,0.9949874686716791,1.037245623711789,0.026399176954732484,8.127777777777599
60,frozenset({'transit_station'}),frozenset({'real_estate_agency'}),0.9592592592592593,0.812962962962963,0.8055555555555556,0.8397683397683398,1.0329724452731286,0.02571330589849108,1.167291387773315
61,frozenset({'real_estate_agency'}),frozenset({'transit_station'}),0.812962962962963,0.9592592592592593,0.8055555555555556,0.9908883826879271,1.0329724452731286,0.02571330589849108,4.471296296296301
62,frozenset({'transit_station'}),frozenset({'doctor'}),0.9592592592592593,0.8037037037037037,0.7944444444444444,0.8281853281853281,1.0304610074195326,0.023484224965706457,1.1424885559717015
63,frozenset({'doctor'}),frozenset({'transit_station'}),0.8037037037037037,0.9592592592592593,0.7944444444444444,0.988479262672811,1.0304610074195328,0.023484224965706457,3.5362962962962947
64,frozenset({'transit_station'}),frozenset({'highSales'}),0.9592592592592593,0.7444444444444445,0.7185185185185186,0.7490347490347491,1.0061660807929464,0.00440329218106994,1.0182905982905985
65,frozenset({'highSales'}),frozenset({'transit_station'}),0.7444444444444445,0.9592592592592593,0.7185185185185186,0.9651741293532339,1.0061660807929464,0.00440329218106994,1.1698412698412715
66,frozenset({'real_estate_agency'}),frozenset({'doctor'}),0.812962962962963,0.8037037037037037,0.7074074074074074,0.8701594533029612,1.0826868773815645,0.054026063100137134,1.511825860948667
67,frozenset({'doctor'}),frozenset({'real_estate_agency'}),0.8037037037037037,0.812962962962963,0.7074074074074074,0.880184331797235,1.0826868773815645,0.054026063100137134,1.5610398860398853
68,"frozenset({'transit_station', 'store'})",frozenset({'beauty_salon'}),0.9518518518518518,0.7074074074074074,0.7,0.735408560311284,1.0395827815918675,0.026652949245541846,1.1058278867102396
69,"frozenset({'transit_station', 'beauty_salon'})",frozenset({'store'}),0.7,0.975925925925926,0.7,1.0,1.0246679316888045,0.016851851851851785,inf
70,"frozenset({'store', 'beauty_salon'})",frozenset({'transit_station'}),0.7074074074074074,0.9592592592592593,0.7,0.9895287958115183,1.0315551153247489,0.02141289437585736,3.890740740740737
71,frozenset({'transit_station'}),"frozenset({'store', 'beauty_salon'})",0.9592592592592593,0.7074074074074074,0.7,0.7297297297297297,1.0315551153247489,0.02141289437585736,1.0825925925925926
72,frozenset({'store'}),"frozenset({'transit_station', 'beauty_salon'})",0.975925925925926,0.7,0.7,0.7172675521821631,1.0246679316888045,0.016851851851851785,1.0610738255033556
73,frozenset({'beauty_salon'}),"frozenset({'transit_station', 'store'})",0.7074074074074074,0.9518518518518518,0.7,0.9895287958115183,1.0395827815918675,0.026652949245541846,4.5981481481481445
74,"frozenset({'restaurant', 'bus_station'})",frozenset({'home_goods_store'}),0.8944444444444445,0.7648148148148148,0.7111111111111111,0.7950310559006211,1.03950791812672,0.027026748971193393,1.1474186307519636
